fiyat,tarih,boyut,m2,yaş,kat,adres
25.000,05-02-2024,1 + 1,60 m²,5 Yaşında,Kağıthane Mint Çağlayan 1+1 Kiralık Daire*For Rent*,erdem
14.500,05-02-2024,1 + 1,90 m²,15 Yaşında,Ara Kat,"Kağıthane, Ortabayır Mahallesi"
15.500,06-02-2024,2 + 1,100 m²,19 Yaşında,2. Kat,"Kağıthane, Talatpaşa Mahallesi"
16.250,09-02-2024,2 + 1,85 m²,25 Yaşında,3. Kat,"Kağıthane, Çeliktepe Mahallesi"
13.500,09-02-2024,1 + 1,90 m²,15 Yaşında,Kot 1,"Kağıthane, Ortabayır Mahallesi"
18.000,09-02-2024,2 + 1,95 m²,15 Yaşında,4. Kat,"Kağıthane, Gültepe Mahallesi"
20.000,09-02-2024,1 + 1,85 m²,10 Yaşında,Ara Kat,"Kağıthane, Merkez Mahallesi"
20.000,09-02-2024,3 + 1,140 m²,21 Yaşında,4. Kat,"Kağıthane, Seyrantepe Mahallesi"
28.000,06-02-2024,Stüdyo,45 m²,3 Yaşında,3. Kat,"Kağıthane, Seyrantepe Mahallesi"
14.500,08-02-2024,2 + 1,85 m²,25 Yaşında,Bahçe Katı,"Kağıthane, Seyrantepe Mahallesi"
19.000,31-01-2024,2 + 1,80 m²,4 Yaşında,4. Kat,"Kağıthane, Çağlayan Mahallesi"
17.000,05-02-2024,2 + 1,80 m²,15 Yaşında,Kot 1,"Kağıthane, Telsizler Mahallesi"
25.000,06-02-2024,4 + 1,150 m²,12 Yaşında,3. Kat,"Kağıthane, Merkez Mahallesi"
15.500,07-02-2024,2 + 1,120 m²,28 Yaşında,2. Kat,"Kağıthane, Yeşilce Mahallesi"
25.000,07-02-2024,1 + 1,60 m²,Sıfır Bina,4. Kat,"Kağıthane, Ortabayır Mahallesi"
15.000,09-02-2024,1 + 1,60 m²,1 Yaşında,Giriş Katı,"Kağıthane, Merkez Mahallesi"
14.000,09-02-2024,2 + 1,100 m²,22 Yaşında,5. Kat,"Kağıthane, Harmantepe Mahallesi"
30.000,09-02-2024,1 + 1,60 m²,7 Yaşında,5. Kat,"Kağıthane, Çağlayan Mahallesi"
20.000,08-02-2024,3 + 1,150 m²,20 Yaşında,4. Kat,"Kağıthane, Çeliktepe Mahallesi"
45.000,06-02-2024,2 + 1,116 m²,4 Yaşında,7. Kat,"Kağıthane, Hamidiye Mahallesi"
18.000,03-02-2024,2 + 1,85 m²,1 Yaşında,4. Kat,"Kağıthane, Çağlayan Mahallesi"
13.000,06-02-2024,1 + 1,70 m²,5 Yaşında,5. Kat,"Kağıthane, Çağlayan Mahallesi"
